City_ID,City,Country,Max Temp,Current Weather,Lat,Long,Hotel Name
1,Atuona,PF,77.79,clear sky,-9.8,-139.0333,Villa Enata
12,Puerto Quijarro,BO,77.54,scattered clouds,-17.7833,-57.7667,Hotel palance
28,Vaini,TO,78.96,few clouds,-21.2,-175.2,Little Italy Hotel
44,Mujiayingzi,CN,79.61,overcast clouds,42.1167,118.7833,Jinjiang Hotel
50,Eatonton,US,79.09,broken clouds,33.3268,-83.3885,US Forestry Department
61,Tura,IN,78.78,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
84,Marawi,PH,77.22,overcast clouds,7.9986,124.2928,Derogongan Residence
86,La Ronge,CA,79.05,scattered clouds,55.1001,-105.2842,Eagle Point Sales & Service
87,Tautira,PF,76.84,overcast clouds,-17.7333,-149.15,Pension Oaoa
88,Atambua,ID,77.23,few clouds,-9.1061,124.8925,Kost Alfa Flat
89,Itarema,BR,78.37,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
105,Tawau,MY,75.33,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
117,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Little Polynesian Resort
128,Poum,NC,78.55,light rain,-20.2333,164.0167,Gîte de Golone
131,Shache,CN,77.31,overcast clouds,38.4167,77.2406,Delong Hotel
138,Gilgit,PK,79.61,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
140,Bayan,CN,76.44,clear sky,46.0833,127.4,Wanhao Inn
145,Gat,IL,75.4,clear sky,31.61,34.7642,OlusHome
154,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Scenic Matavai Resort Niue
165,Bangkalan,ID,78.75,few clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
196,Nianzishan,CN,79.57,overcast clouds,47.5167,122.8833,Jinhong Hotel
209,Alta Floresta,BR,78.31,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
211,Hobyo,SO,76.08,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
218,Bahia Honda,CU,79.74,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
226,Touros,BR,75.88,few clouds,-5.1989,-35.4608,Siri Paraíso Hotel
227,Muscle Shoals,US,77.14,scattered clouds,34.7448,-87.6675,Marriott Shoals Hotel & Spa
228,Harper,LR,75.88,overcast clouds,4.375,-7.7169,Screensaver
231,Fujin,CN,79,clear sky,47.26,132.0322,Xilong Hotel Fujin Shop
233,Ponta Do Sol,PT,75.13,clear sky,32.6667,-17.1,Calheta Beach - All-inclusive
244,Meulaboh,ID,79.88,overcast clouds,4.1363,96.1285,Kost Pria
253,Khowst,AF,77.65,few clouds,33.3833,69.8833,وچه خوړه،Wacha Khwara
259,Payakumbuh,ID,78.82,broken clouds,-0.2202,100.6308,Dalimo Homestay
263,Salinopolis,BR,77.07,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
267,Mitsamiouli,KM,76.01,clear sky,-11.3847,43.2844,Foyer ADM
268,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
270,Avera,US,78.85,broken clouds,33.194,-82.5271,April darren
272,Vostok,RU,76.93,overcast clouds,46.4856,135.8833,Adonis
282,Jalu,LY,75.83,clear sky,29.0331,21.5482,صاحبة الفخامة
283,Bull Savanna,JM,77.05,overcast clouds,17.8868,-77.5902,Big Red's
284,Bocas Del Toro,PA,79.86,overcast clouds,9.3333,-82.25,Hotel Bocas del Toro
292,Humaita,BR,77.04,scattered clouds,-7.5061,-63.0208,Corrêa Hotel
296,Russell,US,76.96,clear sky,32.3502,-85.1999,Macs
306,Agadir,MA,77.45,clear sky,30.4202,-9.5982,Iberostar Founty Beach
307,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
316,Dhule,IN,76.77,moderate rain,20.9,74.7833,Hotel Dwarkamai
330,Biak,ID,78.13,overcast clouds,-0.9131,122.8766,Ramayana Beach Hotel
336,Puerto Carreno,CO,75.51,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
337,Elizabeth City,US,78.82,broken clouds,36.2946,-76.2511,Hampton Inn Elizabeth City
338,Puerto Suarez,BO,75.61,clear sky,-18.95,-57.8,Hotel casa real
339,Labuhan,ID,79.81,clear sky,-6.8844,112.2051,DoubleFAG
340,Sanandaj,IR,75.22,clear sky,35.3144,46.9923,Sanandaj Tourist Hotel
349,Guayaramerin,BO,77.76,scattered clouds,-10.8368,-65.3614,Hostal Funf
356,Terenos,BR,76.71,clear sky,-20.4422,-54.8603,Rancho Pitzer
357,Salalah,OM,77.09,light rain,17.0151,54.0924,Al Jabal
365,Hadejia,NG,79.68,light rain,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
371,Takoradi,GH,75.34,overcast clouds,4.8845,-1.7554,Raybow International Hotel
373,Carbondale,US,75.2,overcast clouds,37.7273,-89.2168,Best Western Saluki Inn
377,Lodwar,KE,78.76,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
379,Kamaishi,JP,79.43,light rain,39.2667,141.8833,Hotel Route Inn Kamaishi
391,Quang Ngai,VN,76.82,moderate rain,15.1167,108.8,Central Hotel
400,Komsomolskiy,UZ,75.92,scattered clouds,40.4272,71.7189,Grand Osiyo Plaza
403,Faanui,PF,78.01,broken clouds,-16.4833,-151.75,InterContinental Bora Bora Resort Thalasso Spa
405,Jaguey Grande,CU,77.43,moderate rain,22.5269,-81.1286,Barberia hendrix
409,Tigil,RU,77.99,clear sky,57.8,158.6667,Tigil'
412,Shuangcheng,CN,78.48,clear sky,45.35,126.2833,Xingcheng Hotel
417,Mogadishu,SO,75.58,overcast clouds,2.0371,45.3438,Hotel Juba
426,Katsuura,JP,78.33,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
434,Bandarbeyla,SO,78.98,broken clouds,9.4942,50.8122,JABIR HOTEL
436,Mayskiy,RU,76.41,overcast clouds,47.6931,40.1025,Dio Lakrua
441,Pathein,MM,77.86,overcast clouds,16.7833,94.7333,Pathein Hotel
443,Khuzdar,PK,78.26,heavy intensity rain,27.7384,66.6434,Hostel 6
449,Hamilton,US,79.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
452,Miyako,JP,77.32,overcast clouds,39.6367,141.9525,Hotel Route Inn Miyako
455,Fare,PF,78.08,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
483,Kutum,SD,78.21,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
484,Rach Gia,VN,79.99,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
490,Galesong,ID,78.82,broken clouds,-5.3166,119.3661,Sapriadi Appy
496,Yerraguntla,IN,78.73,overcast clouds,14.6372,78.5395,M Y R Lodge
501,Teahupoo,PF,76.96,overcast clouds,-17.8333,-149.2667,Vanira Lodge
502,Baker City,US,78.51,clear sky,44.7749,-117.8344,Bridge Street Inn
503,Keokuk,US,79.25,few clouds,40.3973,-91.3849,Hampton Inn Keokuk
504,Vao,NC,76.44,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
520,Sinnamary,GF,77.49,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
527,Robertsport,LR,76.42,moderate rain,6.7533,-11.3686,Kwepunha Retreat
529,Zunyi,CN,77.77,broken clouds,27.6867,106.9072,Bishiluo Hostel
536,Ekhabi,RU,76.01,clear sky,53.5102,142.9671,Sakhalin-Sfera
555,Noshiro,JP,76.03,overcast clouds,40.2039,140.0242,Suigetsu
569,Iracoubo,GF,76.75,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
572,Nieuw Amsterdam,SR,77.16,overcast clouds,5.8833,-55.0833,North Resort Hotel
578,Santa Fe,AR,75,light rain,-31.6333,-60.7,Conquistador Hotel
579,Yantongshan,CN,78.89,overcast clouds,43.2919,126.0094,Home Inn Hotel
587,Surt,LY,77.94,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
596,Popondetta,PG,75.6,overcast clouds,-8.7537,148.2534,Timos Transit House
597,Marshall,US,76.08,moderate rain,34.3834,-86.3333,Hampton Inn Guntersville
601,Porto Novo,BJ,78.62,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
624,Damghan,IR,75.4,clear sky,36.1683,54.348,خوابگاه اساتيد دانشگاه دامغان
625,Jatiroto,ID,78.31,clear sky,-7.8833,111.1167,omahe mbah senen
627,Baoqing,CN,79.03,overcast clouds,46.3317,132.2111,Baoqing Hotel
638,Ubrique,ES,75.87,clear sky,36.6778,-5.446,Hotel La Posada
647,Ashqelon,IL,75.09,clear sky,31.6693,34.5715,Leonardo Ashkelon
658,Mormugao,IN,79.86,drizzle,15.4,73.8,Cidade de Goa - IHCL SeleQtions
684,Tomatlan,MX,79.45,overcast clouds,19.9333,-105.25,El Salvial
685,Dengfeng,CN,78.4,overcast clouds,34.4553,113.0281,Songshan Dihao Hotel
693,Monrovia,LR,75.97,moderate rain,6.3005,-10.7969,Sunset Inn
698,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
709,Colares,PT,77.99,clear sky,38.7992,-9.4469,Penha Longa Resort
