,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kholodnyy,RU,62.7167,147.95,71.49,45,81,5.59,broken clouds
1,Atuona,PF,-9.8,-139.0333,77.79,75,7,18.43,clear sky
2,Hithadhoo,MV,-0.6,73.0833,83.25,75,100,6.62,overcast clouds
3,Mizdah,LY,31.4451,12.9801,68.61,73,46,5.23,scattered clouds
4,Albany,US,42.6001,-73.9662,68.65,63,4,4.5,clear sky
5,Jamestown,US,42.097,-79.2353,65.84,55,0,9.22,clear sky
6,Mar Del Plata,AR,-38.0023,-57.5575,56.08,94,100,8.01,mist
7,Taunggyi,MM,20.7833,97.0333,67.41,88,38,2.42,scattered clouds
8,Ushuaia,AR,-54.8,-68.3,28.06,80,40,11.5,light snow
9,Atascadero,US,35.4894,-120.6707,91.2,33,1,7.0,clear sky
10,Georgetown,MY,5.4112,100.3354,84.13,83,20,4.61,moderate rain
11,Bathsheba,BB,13.2167,-59.5167,83.01,89,20,23.02,few clouds
12,Puerto Quijarro,BO,-17.7833,-57.7667,77.54,46,28,3.71,scattered clouds
13,Pevek,RU,69.7008,170.3133,32.2,97,100,17.38,snow
14,Mataura,NZ,-46.1927,168.8643,44.47,66,8,1.48,clear sky
15,Arraial Do Cabo,BR,-22.9661,-42.0278,70.88,86,0,19.66,clear sky
16,Cabo San Lucas,MX,22.8909,-109.9124,92.5,43,40,13.8,scattered clouds
17,Papetoai,PF,-17.4961,-149.8729,83.79,69,99,19.35,overcast clouds
18,Port Elizabeth,ZA,-33.918,25.5701,61.32,80,0,23.02,clear sky
19,Ust-Ilimsk,RU,58.0006,102.6619,65.75,53,52,2.89,broken clouds
20,Yar-Sale,RU,66.8333,70.8333,59.27,67,92,8.84,overcast clouds
21,Hilo,US,19.7297,-155.09,87.28,74,100,6.91,overcast clouds
22,Ippy,CF,6.2679,21.2247,69.19,97,100,3.65,overcast clouds
23,East London,ZA,-33.0153,27.9116,72.84,34,0,11.97,clear sky
24,Coquimbo,CL,-29.9533,-71.3436,53.33,100,100,2.3,light rain
25,Bilma,NE,18.6853,12.9164,87.82,32,0,7.29,clear sky
26,Bredasdorp,ZA,-34.5322,20.0403,49.89,83,0,5.1,clear sky
27,Riyadh,SA,24.6877,46.7219,84.34,14,100,9.22,overcast clouds
28,Vaini,TO,-21.2,-175.2,78.96,73,20,13.8,few clouds
29,Sao Filipe,CV,14.8961,-24.4956,74.01,84,39,8.68,scattered clouds
30,Ahuimanu,US,21.4447,-157.8378,83.91,70,75,19.57,broken clouds
31,Angoche,MZ,-16.2325,39.9086,68.63,84,3,6.06,light rain
32,Ancud,CL,-41.8697,-73.8203,45.23,87,100,11.81,light rain
33,Bubaque,GW,11.2833,-15.8333,80.08,85,100,11.99,light rain
34,Nikolskoye,RU,59.7035,30.7861,59.81,97,80,2.86,broken clouds
35,Saint George,US,37.1041,-113.5841,105.64,10,0,13.8,clear sky
36,Luderitz,NA,-26.6481,15.1594,54.34,93,33,4.99,light rain
37,Airai,TL,-8.9266,125.4092,64.35,75,70,4.16,broken clouds
38,New Norfolk,AU,-42.7826,147.0587,51.93,87,5,2.93,clear sky
39,Tuatapere,NZ,-46.1333,167.6833,44.46,64,7,3.51,clear sky
40,Verkhnevilyuysk,RU,63.4453,120.3167,59.63,96,100,2.33,light rain
41,Kahului,US,20.8947,-156.47,87.82,63,20,24.16,few clouds
42,Dikson,RU,73.5069,80.5464,33.01,91,98,7.23,overcast clouds
43,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,100,100,9.22,fog
44,Mujiayingzi,CN,42.1167,118.7833,79.61,40,91,8.12,overcast clouds
45,Grand-Santi,GF,4.25,-54.3833,72.77,99,95,2.17,overcast clouds
46,Alice Springs,AU,-23.7,133.8833,53.15,43,0,18.41,clear sky
47,Lensk,RU,60.7253,114.9278,58.28,98,100,3.02,light rain
48,Castro,BR,-24.7911,-50.0119,54.95,83,19,3.83,few clouds
49,Rikitea,PF,-23.1203,-134.9692,73.67,80,16,12.06,moderate rain
50,Eatonton,US,33.3268,-83.3885,79.09,90,58,5.21,broken clouds
51,Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,11.5,few clouds
52,Grand Gaube,MU,-20.0064,57.6608,68.4,75,23,10.0,few clouds
53,Thompson,CA,55.7435,-97.8558,71.76,78,100,3.44,thunderstorm
54,Las Vegas,US,36.175,-115.1372,108.84,7,0,17.27,clear sky
55,Nara,JP,34.6851,135.8049,86.5,55,52,1.72,broken clouds
56,Hinton,CA,53.4001,-117.5857,64.54,47,100,6.13,overcast clouds
57,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,74.1,42,100,8.25,overcast clouds
58,Bluff,NZ,-46.6,168.3333,44.8,68,55,4.29,broken clouds
59,Santa Isabel,BR,-23.3156,-46.2214,61.9,89,46,1.63,scattered clouds
60,Ribeira Grande,PT,38.5167,-28.7,68.14,77,98,10.56,overcast clouds
61,Tura,IN,25.5198,90.2201,78.78,85,16,4.12,few clouds
62,Cidreira,BR,-30.1811,-50.2056,62.26,93,26,14.32,scattered clouds
63,Mantua,IT,45.1667,10.7833,70.84,73,36,1.99,scattered clouds
64,Nurota,UZ,40.5614,65.6886,72.23,26,0,6.8,clear sky
65,Chuy,UY,-33.6971,-53.4616,61.25,93,75,15.93,broken clouds
66,Buala,SB,-8.145,159.5921,84.65,67,16,6.82,few clouds
